client_id,train_rows,test_rows
361,1467,367
362,1304,327
363,1451,363
364,1393,349
365,1424,356
366,1500,375
367,1373,344
368,1228,307
369,1340,335
370,1296,324
371,1306,327
372,1340,335
373,1220,305
374,1280,321
375,1319,330
376,1524,381
377,1460,365
378,1325,332
379,1371,343
380,1224,306
381,1256,315
382,1291,323
383,1296,325
384,1214,304
385,1218,305
386,1209,303
387,1186,297
388,1221,306
389,1075,269
390,1178,295
391,1055,264
392,1168,292
393,1120,281
394,970,243
395,1101,276
396,1272,318
397,1204,302
398,1005,252
399,1113,279
400,1090,273
401,1128,282
402,1049,263
403,1020,256
404,1102,276
405,1029,258
406,959,240
407,1068,267
408,1174,294
409,1024,257
410,953,239
411,1048,263
412,1024,257
413,1076,270
414,952,239
415,1120,280
416,1018,255
417,876,219
418,1089,273
419,1040,261
420,908,227
421,1034,259
422,975,244
423,882,221
424,939,235
425,893,224
426,1034,259
427,876,219
428,920,230
429,824,207
430,792,199
431,888,223
432,892,224
433,847,212
434,954,239
435,954,239
436,904,226
437,927,232
438,880,221
439,822,206
440,921,231
441,866,217
442,860,216
443,909,228
444,1015,254
445,779,195
446,928,232
447,897,225
448,822,206
449,860,216
450,680,171
451,889,223
452,788,197
453,768,193
454,896,224
455,796,200
456,749,188
457,700,175
458,798,200
459,713,179
460,966,242
461,786,197
462,696,175
463,738,185
464,931,233
465,799,200
466,887,222
467,771,193
468,730,183
469,600,151
470,777,195
471,679,170
472,705,177
473,750,188
474,820,206
475,714,179
476,594,149
477,632,159
478,704,177
479,611,153
480,766,192
481,636,160
482,721,181
483,747,187
484,787,197
485,631,158
486,601,151
487,475,119
488,588,147
489,479,120
490,641,161
491,646,162
492,612,153
493,525,132
494,447,112
495,490,123
496,399,100
497,424,107
498,545,137
499,543,136
500,578,145
501,520,131
502,454,114
503,336,85
504,384,96
505,508,127
506,305,77
507,434,109
508,323,81
509,288,72
510,376,95
511,284,71
512,232,59
513,183,46
514,185,47
515,212,54
516,241,61
517,84,21
518,112,29
519,72,18
520,40,10
521,59,15
522,46,12
